shopid,shop_location,hashtag_list,show_free_shipping,name,description,itemid,type_name,type_price,type_normal_stock,type_sold,type_stock,time_stamp
5547415,臺,,False,【福臨軒】台灣製 1尺 1尺3 1尺5三角令旗 符令 黑色令旗 黃色令旗  四角令旗,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處或圖片都有商品尺寸，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

台灣製雙面印刷三角令旗
1尺$80/面
1尺3$90/面(黑色是跟圖2黃色一樣印刷方式)
1尺5$100/面

#三角令旗
#四角令旗
#符",854096426,1尺三角令,138.85188,1,9,2,2022-05-05
5547415,臺,,False,【福臨軒】台灣製 1尺 1尺3 1尺5三角令旗 符令 黑色令旗 黃色令旗  四角令旗,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處或圖片都有商品尺寸，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

台灣製雙面印刷三角令旗
1尺$80/面
1尺3$90/面(黑色是跟圖2黃色一樣印刷方式)
1尺5$100/面

#三角令旗
#四角令旗
#符",854096426,1尺三角令,126.85452,3,8,3,2022-05-05
5547415,臺,,False,【福臨軒】台灣製 1尺 1尺3 1尺5三角令旗 符令 黑色令旗 黃色令旗  四角令旗,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處或圖片都有商品尺寸，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

台灣製雙面印刷三角令旗
1尺$80/面
1尺3$90/面(黑色是跟圖2黃色一樣印刷方式)
1尺5$100/面

#三角令旗
#四角令旗
#符",854096426,1尺3三角令,136.41405,6,10,10,2022-05-05
5547415,臺,,False,【福臨軒】台灣製 1尺 1尺3 1尺5三角令旗 符令 黑色令旗 黃色令旗  四角令旗,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處或圖片都有商品尺寸，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

台灣製雙面印刷三角令旗
1尺$80/面
1尺3$90/面(黑色是跟圖2黃色一樣印刷方式)
1尺5$100/面

#三角令旗
#四角令旗
#符",854096426,1尺3三角令旗~黑色 跟圖2印,109.86259,6,6,6,2022-05-05
5547415,臺,,False,【福臨軒】台灣製 1尺 1尺3 1尺5三角令旗 符令 黑色令旗 黃色令旗  四角令旗,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處或圖片都有商品尺寸，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

台灣製雙面印刷三角令旗
1尺$80/面
1尺3$90/面(黑色是跟圖2黃色一樣印刷方式)
1尺5$100/面

#三角令旗
#四角令旗
#符",854096426,1尺5三角令,161.224,13,0,19,2022-05-05
5547415,臺,,False,【福臨軒】台灣製 1尺 1尺3 1尺5三角令旗 符令 黑色令旗 黃色令旗  四角令旗,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處或圖片都有商品尺寸，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

台灣製雙面印刷三角令旗
1尺$80/面
1尺3$90/面(黑色是跟圖2黃色一樣印刷方式)
1尺5$100/面

#三角令旗
#四角令旗
#符",854096426,1尺5三角令,133.77312,10,10,9,2022-05-05
5547415,臺,,False,【福臨軒】神明帽 特A級紙帽 正金王帽 1尺3神像神帽 千歲帽 國公帽 各式神明衣 神明配,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:
1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.

<<特A級安金紙帽 王帽>>
<<神像頭圍尺寸>>
7寸頭圍$4200/頂
📢神帽附贈帽墬/對📢

#王帽 
#千歲帽
#國公帽
#1尺3神帽 
#神帽 
",952732441,7寸頭,7429.07736,2,0,2,2022-05-05
5547415,臺,,False,【福臨軒】神明法器 神明配件 8寸8 1尺3 1尺6 柳絲正面飛鳳 王母娘娘 瑤池金母 九天玄女 臨水夫人,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.

<<精緻版柳絲正面鳳>>
~~~尺寸不同 造型也會不一樣~~~
8寸8神像適用$200/支
1尺3神像適用$250/支
1尺6神像適用$300/支

8寸8正面鳳(不含固定條) 左右翅膀寬2.7cm 頭尾前後長3cm
1尺3正面鳳(不含固定條) 左右翅膀寬4.9cm 頭尾前後長5.9cm
1尺6正面鳳(不含固定條) 左右翅膀寬8.8cm 頭尾前後長9.1cm
手工測量難免有誤差 請介意的買家不要下標 謝謝
~~~配戴需要工具及技巧，如果不清楚如何使用，建議考慮鳳束冠https://shopee.tw/product/5547415/431182701?smtt=0.0.9~~~
~~~以上售價不含拍攝道具~~~

#王母娘娘
#九天玄女
#註生娘娘
#臨水夫人
",306130496,8寸8柳絲正,217.17839,27,10,21,2022-05-05
5547415,臺,,False,【福臨軒】神明法器 神明配件 8寸8 1尺3 1尺6 柳絲正面飛鳳 王母娘娘 瑤池金母 九天玄女 臨水夫人,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.

<<精緻版柳絲正面鳳>>
~~~尺寸不同 造型也會不一樣~~~
8寸8神像適用$200/支
1尺3神像適用$250/支
1尺6神像適用$300/支

8寸8正面鳳(不含固定條) 左右翅膀寬2.7cm 頭尾前後長3cm
1尺3正面鳳(不含固定條) 左右翅膀寬4.9cm 頭尾前後長5.9cm
1尺6正面鳳(不含固定條) 左右翅膀寬8.8cm 頭尾前後長9.1cm
手工測量難免有誤差 請介意的買家不要下標 謝謝
~~~配戴需要工具及技巧，如果不清楚如何使用，建議考慮鳳束冠https://shopee.tw/product/5547415/431182701?smtt=0.0.9~~~
~~~以上售價不含拍攝道具~~~

#王母娘娘
#九天玄女
#註生娘娘
#臨水夫人
",306130496,1尺3柳絲正,301.00728,2,7,2,2022-05-05
5547415,臺,,False,【福臨軒】神明法器 神明配件 8寸8 1尺3 1尺6 柳絲正面飛鳳 王母娘娘 瑤池金母 九天玄女 臨水夫人,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.

<<精緻版柳絲正面鳳>>
~~~尺寸不同 造型也會不一樣~~~
8寸8神像適用$200/支
1尺3神像適用$250/支
1尺6神像適用$300/支

8寸8正面鳳(不含固定條) 左右翅膀寬2.7cm 頭尾前後長3cm
1尺3正面鳳(不含固定條) 左右翅膀寬4.9cm 頭尾前後長5.9cm
1尺6正面鳳(不含固定條) 左右翅膀寬8.8cm 頭尾前後長9.1cm
手工測量難免有誤差 請介意的買家不要下標 謝謝
~~~配戴需要工具及技巧，如果不清楚如何使用，建議考慮鳳束冠https://shopee.tw/product/5547415/431182701?smtt=0.0.9~~~
~~~以上售價不含拍攝道具~~~

#王母娘娘
#九天玄女
#註生娘娘
#臨水夫人
",306130496,1尺6柳絲正,417.72867,7,7,6,2022-05-05
5547415,臺,,False,【福臨軒】中壇元帥 三太子 戰甲甲旗旗桿 迷你旗桿 小甲旗旗桿 3mm旗桿 電鍍葫蘆頭 ,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處或圖片都有商品尺寸，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

圖一~3mm 23~24cm旗桿/支+桃木葫蘆頭/個$35 (細節請參考圖片)
圖二~3mm 23~24cm旗桿/支+電鍍葫蘆頭/個$20 (細節請參考圖片)
最少5組以上出貨
旗桿為玻璃纖維棒,可彎但不是軟彈，長度因手工裁切存在一定的誤差,非常介意的買家,請勿下標
桃木葫蘆頭使用原木經機器打磨,色澤、紋路、完整性不盡相同,請介意的買家不要下標，謝謝
📣最少5組才寄送📣

#中壇元帥
#三太子
#戰甲
#旗桿
#葫蘆頭
",1253402567,旗桿/支+電鍍葫蘆頭/個(5組,34.61825,7,125,11,2022-05-05
5547415,臺,,False,【福臨軒】中壇元帥 三太子 戰甲甲旗旗桿 迷你旗桿 小甲旗旗桿 3mm旗桿 電鍍葫蘆頭 ,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處或圖片都有商品尺寸，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

圖一~3mm 23~24cm旗桿/支+桃木葫蘆頭/個$35 (細節請參考圖片)
圖二~3mm 23~24cm旗桿/支+電鍍葫蘆頭/個$20 (細節請參考圖片)
最少5組以上出貨
旗桿為玻璃纖維棒,可彎但不是軟彈，長度因手工裁切存在一定的誤差,非常介意的買家,請勿下標
桃木葫蘆頭使用原木經機器打磨,色澤、紋路、完整性不盡相同,請介意的買家不要下標，謝謝
📣最少5組才寄送📣

#中壇元帥
#三太子
#戰甲
#旗桿
#葫蘆頭
",1253402567,旗桿/支+桃木葫蘆/個(5組以,66.53631,335,192,263,2022-05-05
5547415,臺,,True,【福臨軒】九龍絳衣 降衣 道袍 九,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

九龍八卦絳衣$8200/件
高度130cm
~售價不含拍攝道具~

#絳衣
#降",15856630357,九龍八,15131.20878,2,0,1,2022-05-05
5547415,臺,,False,【福臨軒】神明衣 神衣 濟公師父補布衣 濟公帽 緹花布補布衣 活佛帽 濟公禪師衣 濟公扇,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:
1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.

🔊神衣，奉帽〝分開〞販售
<<布衣>>
8寸8神尊穿8寸長神衣$270/件
1尺3神尊穿12寸長神衣$380/件
1尺6神尊穿14寸長神衣$550/件
<<布帽>>
8寸8神尊戴布帽$150/頂
1尺3神尊戴布帽$200/頂
1尺6神尊戴布帽$230/頂
~~~以上售價不含拍攝神像~~~

#濟公師父
#濟公禪師
#酒壺
#佛珠
#濟公",473861092,8寸長濟公衣(,405.74888,0,2,0,2022-05-05
5547415,臺,,False,【福臨軒】神明衣 神衣 濟公師父補布衣 濟公帽 緹花布補布衣 活佛帽 濟公禪師衣 濟公扇,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:
1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.

🔊神衣，奉帽〝分開〞販售
<<布衣>>
8寸8神尊穿8寸長神衣$270/件
1尺3神尊穿12寸長神衣$380/件
1尺6神尊穿14寸長神衣$550/件
<<布帽>>
8寸8神尊戴布帽$150/頂
1尺3神尊戴布帽$200/頂
1尺6神尊戴布帽$230/頂
~~~以上售價不含拍攝神像~~~

#濟公師父
#濟公禪師
#酒壺
#佛珠
#濟公",473861092,12寸長濟公,395.53635,4,2,4,2022-05-05
5547415,臺,,False,【福臨軒】神明衣 神衣 濟公師父補布衣 濟公帽 緹花布補布衣 活佛帽 濟公禪師衣 濟公扇,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:
1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.

🔊神衣，奉帽〝分開〞販售
<<布衣>>
8寸8神尊穿8寸長神衣$270/件
1尺3神尊穿12寸長神衣$380/件
1尺6神尊穿14寸長神衣$550/件
<<布帽>>
8寸8神尊戴布帽$150/頂
1尺3神尊戴布帽$200/頂
1尺6神尊戴布帽$230/頂
~~~以上售價不含拍攝神像~~~

#濟公師父
#濟公禪師
#酒壺
#佛珠
#濟公",473861092,14寸長濟公衣(,685.4646,2,0,1,2022-05-05
5547415,臺,,False,【福臨軒】神明衣 神衣 濟公師父補布衣 濟公帽 緹花布補布衣 活佛帽 濟公禪師衣 濟公扇,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:
1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.

🔊神衣，奉帽〝分開〞販售
<<布衣>>
8寸8神尊穿8寸長神衣$270/件
1尺3神尊穿12寸長神衣$380/件
1尺6神尊穿14寸長神衣$550/件
<<布帽>>
8寸8神尊戴布帽$150/頂
1尺3神尊戴布帽$200/頂
1尺6神尊戴布帽$230/頂
~~~以上售價不含拍攝神像~~~

#濟公師父
#濟公禪師
#酒壺
#佛珠
#濟公",473861092,8寸8神尊戴濟公,292.46815,1,1,2,2022-05-05
5547415,臺,,False,【福臨軒】神明衣 神衣 濟公師父補布衣 濟公帽 緹花布補布衣 活佛帽 濟公禪師衣 濟公扇,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:
1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.

🔊神衣，奉帽〝分開〞販售
<<布衣>>
8寸8神尊穿8寸長神衣$270/件
1尺3神尊穿12寸長神衣$380/件
1尺6神尊穿14寸長神衣$550/件
<<布帽>>
8寸8神尊戴布帽$150/頂
1尺3神尊戴布帽$200/頂
1尺6神尊戴布帽$230/頂
~~~以上售價不含拍攝神像~~~

#濟公師父
#濟公禪師
#酒壺
#佛珠
#濟公",473861092,1尺3神尊戴濟公,381.63789,6,1,6,2022-05-05
5547415,臺,,False,【福臨軒】神明衣 神衣 濟公師父補布衣 濟公帽 緹花布補布衣 活佛帽 濟公禪師衣 濟公扇,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:
1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.

🔊神衣，奉帽〝分開〞販售
<<布衣>>
8寸8神尊穿8寸長神衣$270/件
1尺3神尊穿12寸長神衣$380/件
1尺6神尊穿14寸長神衣$550/件
<<布帽>>
8寸8神尊戴布帽$150/頂
1尺3神尊戴布帽$200/頂
1尺6神尊戴布帽$230/頂
~~~以上售價不含拍攝神像~~~

#濟公師父
#濟公禪師
#酒壺
#佛珠
#濟公",473861092,1尺6神尊戴濟公帽(,351.53068,0,1,0,2022-05-05
5547415,臺,,True,【福臨軒】神明帽 特A級紙帽 正金相帽 1尺3神帽 土地公帽 財神帽 各式福德正神 城隍爺 文財神 神明衣,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:
1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.

<<特A級安金紙帽 相帽>>
<<神像頭圍尺寸>>
7寸頭圍$4200/頂
📢神帽附贈帽墬/對📢

#土地公帽 
#福德正神
#城隍爺
#文財神
#1尺3神帽 
#神帽 
",952768081,7寸頭,7390.04102,2,0,1,2022-05-05
5547415,臺,,False,【福臨軒】神明衣 神衣~棉底手工蔥三條跳紗神衣 跳紗神衣 另有三角鱗衣 紙帽 粒鱗衣 柳絲帽,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:
1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.


🔊神衣，奉帽〝整套〞販售
1尺3神明穿12寸棉底手工蔥三條跳紗神衣+奉帽$4200/套
1尺6神明穿14寸棉底手工蔥三條跳紗神衣+奉帽$5000/套
~~~以上售價不含拍攝神像~~~
📌📌📌下標前請先在聊聊詢問顏色及尺寸有無現貨📌📌📌

#神衣
#棉底神衣
#跳紗
#天上聖母 
#廣澤尊王 
#九天玄女 
#陳靖姑 
#關聖帝君",478008158,1尺3神尊穿跳紗,5002.53947,1,4,2,2022-05-05
5547415,臺,,False,【福臨軒】神明衣 神衣~棉底手工蔥三條跳紗神衣 跳紗神衣 另有三角鱗衣 紙帽 粒鱗衣 柳絲帽,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處有提供神像丈量方法📏，頭圍的量法可以比照，賣場的神衣❌不適合脫身或另坐龍椅加高❌的神像穿著，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單

神像尺寸換算法:
1尺=10寸, 1寸=3公分
如果不清楚您所供奉的神佛像尺寸時, 可用一條不會伸縮的紅線,或紅繩 (請勿直接以尺或文公尺量神佛像,以示對神佛的尊重),在神佛像側邊測量,再加以換算即可.


🔊神衣，奉帽〝整套〞販售
1尺3神明穿12寸棉底手工蔥三條跳紗神衣+奉帽$4200/套
1尺6神明穿14寸棉底手工蔥三條跳紗神衣+奉帽$5000/套
~~~以上售價不含拍攝神像~~~
📌📌📌下標前請先在聊聊詢問顏色及尺寸有無現貨📌📌📌

#神衣
#棉底神衣
#跳紗
#天上聖母 
#廣澤尊王 
#九天玄女 
#陳靖姑 
#關聖帝君",478008158,1尺6神尊穿跳紗,5168.03471,2,0,1,2022-05-05
5547415,臺,,False,【福臨軒】手工雕刻 安金 九龍玉旨 直立式玉旨 九龍懿旨 8寸,"◎商品有其它平台同步銷售，所以不一定有現貨，為避免下標後無現貨，所以請買家下標前先在聊聊詢問有無現貨
◎商品說明處或圖片都有商品尺寸，請您衡量☑正確尺寸☑再購買，所有訂單一旦出貨就不因為尺寸不合適，與想像不符等等各種理由提供退換貨
◎現貨商品72小時內寄出，缺貨商品或買家下標沒有備註清楚的訂單及買家3個月內超過2次未取件紀錄，會直接取消訂單


1尺3安金九龍王旨$4200/個
字樣提供""玉旨""及""懿旨""兩種選擇，需買家自行黏貼固定

#安金
#雕刻
#九龍旨
",478694495,1尺3安金九龍玉旨(,7607.34857,2,0,1,2022-05-05
